16.4,20.11,0.699,8.07,0.0105
14.6,17.9,1.86,15.5,0.0642,Boron Nitride Nanotube Composite
15.3,22.4,0.777,13.5,0.0118,Zirconium Dioxide Ceramic Heat Sink
14.7,21.9,5.24,12.4,0.507,Boron Nitride Nanotube Composite
8.33,17.5,3.23,5.74,0.301,Boron Nitride Nanotube Composite
11.1,12.6,2.76,12.7,0.156,Graphene-Coated Carbon Fiber Sheet
10.8,22.9,1.87,6.07,0.0635,Graphene-Coated Carbon Fiber Sheet
9.39,18.0,3.84,9.44,0.288,Reinforced Carbon-Carbon (RCC) Shield Tile
10.7,22.8,0.599,3.98,0.00737,Zirconium Dioxide Ceramic Heat Sink
17.9,11.5,3.19,16.1,0.208,Boron Nitride Nanotube Composite
11.8,22.7,2.03,0.662,0.0783,Graphene-Coated Carbon Fiber Sheet
10.4,21.4,1.61,1.32,0.0483,Graphene-Coated Carbon Fiber Sheet
11.1,22.5,4.53,4.59,0.544,Reinforced Carbon-Carbon (RCC) Shield Tile
9.14,19.8,1.06,8.01,0.0226,Silicon Oxycarbide Shield Tile
17.6,9.59,3.19,15.2,0.204,Boron Nitride Nanotube Composite
10.2,11.4,2.11,11.1,0.0801,Boron Nitride Nanotube Composite
11.3,22.0,5.32,3.04,0.585,Reinforced Carbon-Carbon (RCC) Shield Tile
15.4,17.3,2.18,16.0,0.0975,Nanocrystalline Diamond Thermal Spreader
10.8,22.0,2.38,1.55,0.129,Nanocrystalline Diamond Thermal Spreader
14.0,22.8,4.63,11.3,0.437,Graphene Nanoplatelet Thermal Interface Material
12.9,21.5,3.7,12.1,0.271,Reinforced Carbon-Carbon (RCC) Shield Tile
11.2,22.3,3.44,1.71,0.239,Nanocrystalline Diamond Thermal Spreader
9.49,17.4,4.16,9.88,0.33,Reinforced Carbon-Carbon (RCC) Shield Tile
9.16,18.5,4.13,2.19,0.299,Boron Nitride Nanotube Composite
13.4,21.0,1.82,13.4,0.0662,Graphene-Coated Carbon Fiber Sheet
9.52,21.0,2.93,5.45,0.158,Graphene-Coated Carbon Fiber Sheet
19.9,12.6,0.683,16.8,0.00927,Graphene-Coated Carbon Fiber Sheet
8.56,18.9,2.83,5.34,0.152,Boron Nitride Nanotube Composite
12.9,16.2,5.59,13.7,0.846,Graphene Nanoplatelet Thermal Interface Material
9.45,18.9,1.77,0.532,0.0633,Diamond-Like Carbon (DLC) Coated Radiator
11.7,21.9,1.03,10.9,0.0258,Graphene-Coated Carbon Fiber Sheet
9.96,21.8,1.3,3.54,0.0335,Aerogel-Infused Carbon Fiber Panel
16.3,20.3,3.42,15.1,0.226,Reinforced Carbon-Carbon (RCC) Shield Tile
9.99,18.7,6.71,6.19,1.13,Graphene-Coated Carbon Fiber Sheet
13.9,13.6,4.34,14.9,0.456,Boron Nitride Nanotube Composite
8.23,16.0,4.03,5.18,0.301,Graphene-Coated Carbon Fiber Sheet
8.0,16.8,2.14,4.29,0.0872,Boron Nitride Nanotube Composite
8.99,19.2,3.5,7.31,0.489,Boron Nitride Nanotube Composite
10.8,22.8,2.35,6.95,0.103,Boron Nitride Nanotube Composite
8.67,13.8,1.23,0.935,0.0293,Graphene-Coated Carbon Fiber Sheet
13.6,20.6,3.59,13.5,0.294,Boron Nitride Nanotube Composite
8.38,14.3,4.51,4.5,0.382,Phenolic Impregnated Carbon Ablator (PICA)
11.7,22.2,6.07,6.72,0.977,Graphene-Coated Carbon Fiber Sheet
9.22,20.5,2.85,6.08,0.179,Graphene Nanoplatelet Thermal Interface Material
10.6,22.5,3.2,4.11,0.235,Nanocrystalline Diamond Thermal Spreader
8.36,18.5,2.65,5.22,0.133,Diamond-Like Carbon (DLC) Coated Radiator
9.01,18.0,3.15,9.16,0.191,Diamond-Like Carbon (DLC) Coated Radiator
11.0,22.1,4.74,3.02,0.507,Reinforced Carbon-Carbon (RCC) Shield Tile
10.4,21.8,4.12,3.58,0.36,Phenolic Impregnated Carbon Ablator (PICA)
10.8,22.3,3.08,8.16,0.168,Nanocrystalline Diamond Thermal Spreader
11.2,22.9,3.09,7.81,0.17,Graphene-Coated Carbon Fiber Sheet
11.8,18.5,1.87,13.5,0.0668,Silicon Oxycarbide Shield Tile
8.26,17.9,3.13,5.06,0.276,Boron Nitride Nanotube Composite
11.4,22.8,4.82,4.0,0.467,Boron Nitride Nanotube Composite
10.1,22.3,1.66,4.89,0.0515,Boron Nitride Nanotube Composite
8.57,19.0,2.78,3.9,0.155,Nanocrystalline Diamond Thermal Spreader
11.6,20.1,1.71,12.5,0.0582,Silicon Oxycarbide Shield Tile
7.89,15.5,2.04,3.58,0.0788,Diamond-Like Carbon (DLC) Coated Radiator
10.4,14.5,1.5,12.7,0.0431,Nanocrystalline Diamond Thermal Spreader
10.9,21.6,4.58,1.78,0.513,Reinforced Carbon-Carbon (RCC) Shield Tile
9.98,8.61,2.97,4.01,0.316,Boron Nitride Nanotube Composite
15.0,21.3,4.89,13.5,0.466,Boron Nitride Nanotube Composite
17.8,21.2,2.44,15.3,0.114,Boron Nitride Nanotube Composite
8.72,17.6,2.76,8.96,0.15,Boron Nitride Nanotube Composite
15.2,10.7,2.81,15.2,0.188,Boron Nitride Nanotube Composite
8.72,18.7,2.66,8.08,0.13,Boron Nitride Nanotube Composite
10.9,22.0,2.89,1.14,0.153,Reinforced Carbon-Carbon (RCC) Shield Tile
16.2,19.8,3.56,15.4,0.272,Reinforced Carbon-Carbon (RCC) Shield Tile
10.1,22.4,0.938,5.32,0.0169,Boron Nitride Nanotube Composite
9.14,20.7,2.0,6.36,0.0769,Boron Nitride Nanotube Composite
9.44,20.0,3.76,8.06,0.294,Phenolic Impregnated Carbon Ablator (PICA)
12.9,20.6,0.532,13.5,0.00606,Zirconium Dioxide Ceramic Heat Sink
9.28,20.4,3.59,3.85,0.361,Reinforced Carbon-Carbon (RCC) Shield Tile
9.69,9.23,2.64,2.79,0.131,Boron Nitride Nanotube Composite
9.74,20.9,2.02,8.63,0.0731,Graphene-Coated Carbon Fiber Sheet
8.7,13.2,3.38,8.93,0.204,Phenolic Impregnated Carbon Ablator (PICA)
9.18,20.2,3.67,3.85,0.313,Diamond-Like Carbon (DLC) Coated Radiator
8.19,18.2,2.63,4.39,0.13,Phenolic Impregnated Carbon Ablator (PICA)
11.9,20.0,1.59,13.0,0.0461,Graphene-Coated Carbon Fiber Sheet
13.6,15.6,5.15,14.7,0.509,Boron Nitride Nanotube Composite
10.4,20.9,5.38,7.67,0.906,Graphene Nanoplatelet Thermal Interface Material
9.15,20.1,3.97,4.43,0.612,Graphene-Coated Carbon Fiber Sheet
13.3,17.8,4.58,14.4,0.418,Boron Nitride Nanotube Composite
13.2,18.8,3.34,14.4,0.307,Boron Nitride Nanotube Composite
11.1,22.5,2.82,9.05,0.17,Graphene-Coated Carbon Fiber Sheet
9.75,21.3,2.54,7.81,0.134,Diamond-Like Carbon (DLC) Coated Radiator
14.1,21.9,4.96,12.5,0.466,Boron Nitride Nanotube Composite
10.9,22.2,4.65,2.89,0.41,Graphene-Coated Carbon Fiber Sheet
12.7,19.4,3.22,13.8,0.191,Boron Nitride Nanotube Composite
11.1,6.85,0.823,6.56,0.0134,Graphene-Coated Carbon Fiber Sheet
8.67,19.8,2.62,5.42,0.141,Phenolic Impregnated Carbon Ablator (PICA)
12.2,23.0,1.77,10.5,0.0572,Graphene Nanoplatelet Thermal Interface Material
10.3,22.5,2.0,6.95,0.0726,Aerogel-Infused Carbon Fiber Panel
10.2,22.3,3.2,5.67,0.186,Graphene Nanoplatelet Thermal Interface Material
8.74,18.8,2.95,8.21,0.169,Diamond-Like Carbon (DLC) Coated Radiator
8.62,15.4,5.47,6.8,0.753,Boron Nitride Nanotube Composite
15.2,20.8,3.82,14.5,0.295,Reinforced Carbon-Carbon (RCC) Shield Tile
12.6,14.0,2.48,14.8,0.124,Boron Nitride Nanotube Composite
12.4,21.2,1.86,12.7,0.0641,Graphene-Coated Carbon Fiber Sheet
9.63,13.0,1.75,11.5,0.0553,Graphene-Coated Carbon Fiber Sheet
9.33,21.0,1.3,2.89,0.0324,Aerogel-Infused Carbon Fiber Panel
10.8,16.8,2.03,13.2,0.101,Graphene-Coated Carbon Fiber Sheet
9.53,21.5,1.52,3.38,0.0432,Graphene-Coated Carbon Fiber Sheet
16.7,18.1,3.51,16.3,0.242,Reinforced Carbon-Carbon (RCC) Shield Tile
17.4,21.2,2.29,15.4,0.104,Boron Nitride Nanotube Composite
10.2,22.7,1.2,4.66,0.0297,Boron Nitride Nanotube Composite
11.7,22.8,1.15,0.187,0.0256,Graphene-Coated Carbon Fiber Sheet
9.64,16.1,4.8,10.7,0.55,Reinforced Carbon-Carbon (RCC) Shield Tile
14.7,15.7,4.06,15.8,0.401,Silicon Oxycarbide Shield Tile
8.88,11.7,3.43,1.77,0.213,Boron Nitride Nanotube Composite
9.9,22.1,2.86,5.19,0.145,Nanocrystalline Diamond Thermal Spreader
10.9,19.5,1.98,12.3,0.0759,Diamond-Like Carbon (DLC) Coated Radiator
9.4,20.5,3.31,7.95,0.324,Reinforced Carbon-Carbon (RCC) Shield Tile
11.0,22.9,3.3,2.6,0.212,Nanocrystalline Diamond Thermal Spreader
13.1,22.5,3.08,12.0,0.223,Nanocrystalline Diamond Thermal Spreader
10.4,22.5,2.11,2.68,0.0932,Boron Nitride Nanotube Composite
13.5,22.3,4.5,12.0,0.398,Reinforced Carbon-Carbon (RCC) Shield Tile
11.5,18.6,0.872,13.5,0.0148,Graphene-Coated Carbon Fiber Sheet
10.4,21.5,5.05,3.09,0.582,Reinforced Carbon-Carbon (RCC) Shield Tile
9.85,22.3,1.38,5.12,0.0446,Graphene-Coated Carbon Fiber Sheet
8.41,17.3,3.68,8.11,0.304,Graphene-Coated Carbon Fiber Sheet
14.5,22.8,7.75,9.13,1.33,Graphene-Coated Carbon Fiber Sheet
13.2,13.8,4.06,14.9,0.428,Boron Nitride Nanotube Composite
9.09,20.9,2.54,4.67,0.127,Diamond-Like Carbon (DLC) Coated Radiator
8.59,17.2,4.51,7.98,0.518,Diamond-Like Carbon (DLC) Coated Radiator
12.5,16.5,4.64,14.2,0.44,Boron Nitride Nanotube Composite
9.46,19.3,5.6,7.36,0.701,Phenolic Impregnated Carbon Ablator (PICA)
8.38,11.0,2.13,4.19,0.092,Boron Nitride Nanotube Composite
9.24,20.9,1.77,2.83,0.0603,Boron Nitride Nanotube Composite
11.6,22.4,4.89,9.15,0.46,Graphene-Coated Carbon Fiber Sheet
9.08,20.1,0.951,8.63,0.0182,Silicon Oxycarbide Shield Tile
10.2,22.8,1.43,4.66,0.0407,Aerogel-Infused Carbon Fiber Panel
13.4,21.8,2.72,13.1,0.184,Reinforced Carbon-Carbon (RCC) Shield Tile
8.21,17.2,4.23,6.4,0.785,Graphene-Coated Carbon Fiber Sheet
9.09,19.8,3.63,2.43,0.387,Boron Nitride Nanotube Composite
16.2,16.6,1.38,16.8,0.0391,Graphene-Coated Carbon Fiber Sheet
12.0,18.3,1.86,14.1,0.0821,Silicon Oxycarbide Shield Tile
12.2,17.9,2.61,14.3,0.153,Graphene Nanoplatelet Thermal Interface Material
9.74,22.2,1.54,4.56,0.0504,Boron Nitride Nanotube Composite
12.8,18.7,3.85,14.2,0.324,Boron Nitride Nanotube Composite
10.3,22.3,3.22,2.93,0.184,Graphene Nanoplatelet Thermal Interface Material
10.5,22.7,1.99,2.53,0.0747,Diamond-Like Carbon (DLC) Coated Radiator
9.32,19.5,1.25,0.432,0.0323,Graphene-Coated Carbon Fiber Sheet
9.15,20.9,3.1,4.24,0.17,Reinforced Carbon-Carbon (RCC) Shield Tile
10.2,22.3,1.62,2.34,0.0513,Boron Nitride Nanotube Composite
9.68,21.9,2.8,6.06,0.145,Diamond-Like Carbon (DLC) Coated Radiator
8.62,16.1,4.12,9.19,0.325,Graphene-Coated Carbon Fiber Sheet
8.78,20.3,3.0,5.29,0.185,Graphene Nanoplatelet Thermal Interface Material
11.8,22.8,6.1,6.76,0.8,Reinforced Carbon-Carbon (RCC) Shield Tile
9.19,20.0,4.76,4.06,0.604,Nanocrystalline Diamond Thermal Spreader
8.86,19.6,2.56,2.01,0.161,Boron Nitride Nanotube Composite
14.5,11.1,0.942,15.5,0.0201,Nanocrystalline Diamond Thermal Spreader
10.1,22.4,1.07,7.62,0.022,Zirconium Dioxide Ceramic Heat Sink
9.72,20.2,1.51,0.216,0.044,Graphene-Coated Carbon Fiber Sheet
11.5,22.2,0.634,11.0,0.00934,Boron Nitride Nanotube Composite
10.2,21.3,1.23,9.94,0.0289,Graphene-Coated Carbon Fiber Sheet
19.0,14.3,1.09,17.4,0.0239,Zirconium Dioxide Ceramic Heat Sink
10.5,21.3,4.06,9.52,0.309,Boron Nitride Nanotube Composite
10.3,22.6,3.43,6.23,0.224,Boron Nitride Nanotube Composite
9.49,21.0,1.8,8.63,0.0932,Graphene-Coated Carbon Fiber Sheet
8.53,17.1,0.55,0.547,0.00657,Zirconium Dioxide Ceramic Heat Sink
8.4,18.7,1.85,8.33,0.064,Graphene-Coated Carbon Fiber Sheet
9.28,17.4,4.92,9.82,0.532,Graphene-Coated Carbon Fiber Sheet
11.5,20.8,6.36,9.91,1.01,Graphene-Coated Carbon Fiber Sheet
16.5,11.2,2.88,16.2,0.187,Boron Nitride Nanotube Composite
9.72,22.0,1.85,7.24,0.0713,Boron Nitride Nanotube Composite
11.2,18.6,5.5,12.0,0.66,Reinforced Carbon-Carbon (RCC) Shield Tile
10.3,20.2,1.65,11.3,0.0503,Graphene-Coated Carbon Fiber Sheet
15.6,21.0,4.2,14.7,0.37,Boron Nitride Nanotube Composite
12.7,20.8,3.86,13.1,0.37,Reinforced Carbon-Carbon (RCC) Shield Tile
17.9,10.4,2.97,16.2,0.168,Diamond-Like Carbon (DLC) Coated Radiator
16.7,21.1,2.16,15.5,0.0931,Boron Nitride Nanotube Composite
9.94,22.2,1.68,7.75,0.0565,Aerogel-Infused Carbon Fiber Panel
9.83,20.6,3.36,9.57,0.195,Boron Nitride Nanotube Composite
7.97,16.7,4.16,6.31,0.396,Boron Nitride Nanotube Composite
10.2,22.2,1.08,8.7,0.0229,Graphene-Coated Carbon Fiber Sheet
13.4,22.2,3.83,12.6,0.288,Reinforced Carbon-Carbon (RCC) Shield Tile
13.9,21.4,4.48,13.4,0.405,Boron Nitride Nanotube Composite
8.9,20.0,2.08,8.5,0.0849,Aerogel-Infused Carbon Fiber Panel
12.8,18.3,1.85,14.9,0.0727,Graphene-Coated Carbon Fiber Sheet
8.66,18.1,4.86,2.68,0.423,Reinforced Carbon-Carbon (RCC) Shield Tile
9.53,22.1,1.92,5.31,0.0742,Graphene-Coated Carbon Fiber Sheet
9.88,22.2,0.808,7.78,0.0134,Boron Nitride Nanotube Composite
12.5,20.8,7.4,10.3,1.34,Graphene-Coated Carbon Fiber Sheet
8.89,18.7,2.83,0.791,0.172,Diamond-Like Carbon (DLC) Coated Radiator
10.6,22.5,4.63,6.8,0.475,Reinforced Carbon-Carbon (RCC) Shield Tile
11.4,11.0,2.81,13.1,0.223,Boron Nitride Nanotube Composite
7.99,13.7,4.43,6.13,0.493,Graphene-Coated Carbon Fiber Sheet
15.0,16.9,0.977,16.5,0.0191,Graphene-Coated Carbon Fiber Sheet
9.35,21.3,2.56,7.58,0.136,Diamond-Like Carbon (DLC) Coated Radiator
13.3,22.1,0.671,13.2,0.00898,Graphene-Coated Carbon Fiber Sheet
10.4,22.9,3.17,6.63,0.176,Graphene-Coated Carbon Fiber Sheet
9.96,21.6,4.71,6.88,0.403,Phenolic Impregnated Carbon Ablator (PICA)
16.9,19.5,5.24,15.6,0.524,Diamond-Like Carbon (DLC) Coated Radiator
10.4,22.9,3.46,4.36,0.217,Graphene Nanoplatelet Thermal Interface Material
15.4,21.1,4.04,14.7,0.357,Boron Nitride Nanotube Composite
9.03,20.3,2.82,8.31,0.152,Boron Nitride Nanotube Composite
7.88,14.0,3.25,2.68,0.475,Boron Nitride Nanotube Composite
8.25,19.1,3.19,6.52,0.198,Boron Nitride Nanotube Composite
8.7,13.4,1.86,10.5,0.0642,Graphene-Coated Carbon Fiber Sheet
9.6,21.1,1.76,9.16,0.0559,Graphene-Coated Carbon Fiber Sheet
9.24,14.7,3.22,11.4,0.219,Diamond-Like Carbon (DLC) Coated Radiator
9.37,9.31,3.98,3.61,0.306,Graphene-Coated Carbon Fiber Sheet
9.97,21.5,2.86,9.11,0.147,Graphene-Coated Carbon Fiber Sheet
8.68,19.4,1.37,8.95,0.0353,Graphene-Coated Carbon Fiber Sheet
11.0,22.8,5.24,4.04,0.597,Reinforced Carbon-Carbon (RCC) Shield Tile
14.3,21.9,5.08,13.1,0.481,Boron Nitride Nanotube Composite
9.46,20.6,0.953,0.806,0.0188,Graphene-Coated Carbon Fiber Sheet
9.29,20.5,4.15,7.84,0.322,Phenolic Impregnated Carbon Ablator (PICA)
12.5,18.7,3.21,14.4,0.298,Boron Nitride Nanotube Composite
10.9,15.1,3.97,13.4,0.422,Boron Nitride Nanotube Composite
12.7,20.7,3.36,13.5,0.265,Nanocrystalline Diamond Thermal Spreader
9.64,22.4,1.56,5.78,0.0485,Aerogel-Infused Carbon Fiber Panel
9.64,9.92,2.34,9.98,0.169,Boron Nitride Nanotube Composite
11.0,19.2,4.37,12.3,0.531,Graphene-Coated Carbon Fiber Sheet
8.35,18.0,1.37,1.09,0.0345,Graphene-Coated Carbon Fiber Sheet
9.41,20.3,1.41,9.9,0.0377,Silicon Oxycarbide Shield Tile
9.36,20.4,5.34,4.3,0.611,Graphene Nanoplatelet Thermal Interface Material
8.84,21.2,1.12,4.78,0.0245,Graphene-Coated Carbon Fiber Sheet
11.9,22.9,1.72,11.0,0.0551,Boron Nitride Nanotube Composite
8.99,20.7,1.61,8.2,0.0475,Graphene-Coated Carbon Fiber Sheet
9.48,21.9,2.63,3.7,0.127,Nanocrystalline Diamond Thermal Spreader
8.81,20.4,3.01,7.35,0.19,Boron Nitride Nanotube Composite
10.4,22.7,2.17,2.0,0.0919,Diamond-Like Carbon (DLC) Coated Radiator
10.9,22.2,0.634,10.5,0.00876,Zirconium Dioxide Ceramic Heat Sink
8.83,18.7,5.5,7.08,0.632,Graphene-Coated Carbon Fiber Sheet
10.1,22.9,2.75,4.7,0.142,Boron Nitride Nanotube Composite
7.66,16.1,1.17,2.19,0.0261,Nanocrystalline Diamond Thermal Spreader
13.5,19.1,4.02,14.8,0.438,Zirconium Dioxide Ceramic Heat Sink
10.7,22.7,2.29,9.22,0.0984,Graphene Nanoplatelet Thermal Interface Material
7.49,16.1,2.98,4.14,0.162,Boron Nitride Nanotube Composite
12.9,22.8,4.21,11.6,0.308,Graphene Nanoplatelet Thermal Interface Material
16.3,16.3,2.09,17.1,0.0956,Graphene-Coated Carbon Fiber Sheet
10.8,20.5,3.15,11.8,0.182,Graphene-Coated Carbon Fiber Sheet
11.5,22.7,3.0,10.5,0.191,Nanocrystalline Diamond Thermal Spreader
9.99,21.9,1.88,9.16,0.0657,Diamond-Like Carbon (DLC) Coated Radiator
11.0,22.7,4.91,2.39,0.521,Boron Nitride Nanotube Composite
8.94,20.5,3.59,7.42,0.273,Boron Nitride Nanotube Composite
13.1,21.5,2.4,13.6,0.111,Nanocrystalline Diamond Thermal Spreader
11.0,13.2,1.86,13.9,0.0701,Boron Nitride Nanotube Composite
15.8,11.1,2.76,16.2,0.18,Boron Nitride Nanotube Composite
10.7,21.7,2.25,10.8,0.0938,Nanocrystalline Diamond Thermal Spreader
8.84,19.8,3.1,8.76,0.215,Graphene Nanoplatelet Thermal Interface Material
10.6,20.1,1.74,12.2,0.0568,Graphene-Coated Carbon Fiber Sheet
15.1,22.3,2.42,14.3,0.105,Nanocrystalline Diamond Thermal Spreader
8.91,21.1,2.67,6.7,0.135,Phenolic Impregnated Carbon Ablator (PICA)
17.8,16.5,1.23,17.5,0.029,Zirconium Dioxide Ceramic Heat Sink
9.5,20.9,4.97,7.15,0.577,Reinforced Carbon-Carbon (RCC) Shield Tile
9.29,21.1,1.7,8.8,0.061,Boron Nitride Nanotube Composite
7.96,16.6,3.77,8.21,0.429,Diamond-Like Carbon (DLC) Coated Radiator
10.4,21.6,5.13,8.66,0.476,Reinforced Carbon-Carbon (RCC) Shield Tile
10.3,19.7,2.42,12.0,0.118,Diamond-Like Carbon (DLC) Coated Radiator
10.3,22.5,2.8,1.77,0.174,Phenolic Impregnated Carbon Ablator (PICA)
9.89,22.6,3.24,6.07,0.19,Nanocrystalline Diamond Thermal Spreader
12.2,17.2,4.7,14.3,0.426,Boron Nitride Nanotube Composite
14.4,22.7,5.37,12.5,0.546,Reinforced Carbon-Carbon (RCC) Shield Tile
8.16,19.4,2.31,7.35,0.0963,Boron Nitride Nanotube Composite
8.53,18.4,1.62,9.88,0.0482,Graphene-Coated Carbon Fiber Sheet
7.99,16.8,2.56,9.09,0.124,Diamond-Like Carbon (DLC) Coated Radiator
9.17,20.2,3.15,9.29,0.182,Boron Nitride Nanotube Composite
12.2,20.3,4.51,13.1,0.565,Boron Nitride Nanotube Composite
8.49,20.7,1.62,6.19,0.0492,Graphene-Coated Carbon Fiber Sheet
10.6,14.4,3.23,13.5,0.245,Boron Nitride Nanotube Composite
12.7,22.2,0.561,12.9,0.0065,Zirconium Dioxide Ceramic Heat Sink
13.2,21.9,4.71,12.7,0.441,Boron Nitride Nanotube Composite
8.81,20.3,4.52,5.18,0.47,Diamond-Like Carbon (DLC) Coated Radiator
9.62,22.5,0.528,6.72,0.00599,Boron Nitride Nanotube Composite
8.53,14.7,6.21,7.35,0.697,Graphene Nanoplatelet Thermal Interface Material
12.1,21.4,2.43,12.9,0.178,Reinforced Carbon-Carbon (RCC) Shield Tile
8.87,19.9,2.84,9.05,0.153,Diamond-Like Carbon (DLC) Coated Radiator
11.3,20.7,2.46,12.6,0.131,Silicon Oxycarbide Shield Tile
10.0,22.7,3.44,6.3,0.237,Nanocrystalline Diamond Thermal Spreader
8.98,19.9,0.674,0.676,0.00993,Graphene-Coated Carbon Fiber Sheet
8.93,21.0,3.78,5.49,0.36,Nanocrystalline Diamond Thermal Spreader
12.3,21.1,3.04,13.2,0.186,Nanocrystalline Diamond Thermal Spreader
12.5,21.5,3.89,12.8,0.301,Reinforced Carbon-Carbon (RCC) Shield Tile
8.49,15.3,3.48,10.3,0.232,Graphene Nanoplatelet Thermal Interface Material
11.8,16.0,3.15,14.7,0.273,Boron Nitride Nanotube Composite
13.7,22.8,1.59,13.2,0.0456,Graphene-Coated Carbon Fiber Sheet
12.1,12.8,4.4,14.3,0.467,Boron Nitride Nanotube Composite
8.26,14.2,2.13,10.2,0.086,Graphene-Coated Carbon Fiber Sheet
10.2,22.7,0.457,1.83,0.00445,Boron Nitride Nanotube Composite
9.56,16.7,0.874,12.5,0.0155,Silicon Oxycarbide Shield Tile
10.6,22.5,1.34,9.9,0.0331,Silicon Oxycarbide Shield Tile
16.0,14.0,2.29,17.1,0.107,Graphene-Coated Carbon Fiber Sheet
10.3,22.9,3.99,4.0,0.284,Boron Nitride Nanotube Composite
9.75,12.3,1.75,12.3,0.107,Boron Nitride Nanotube Composite
11.9,15.2,3.33,14.8,0.249,Boron Nitride Nanotube Composite
14.7,21.1,3.89,14.7,0.348,Boron Nitride Nanotube Composite
9.96,19.4,1.05,12.0,0.0218,Graphene-Coated Carbon Fiber Sheet
11.5,22.3,3.48,11.1,0.212,Graphene Nanoplatelet Thermal Interface Material
9.17,21.2,0.989,1.78,0.0214,Graphene-Coated Carbon Fiber Sheet
10.3,20.1,3.33,11.6,0.225,Diamond-Like Carbon (DLC) Coated Radiator
14.2,10.3,2.63,15.3,0.177,Boron Nitride Nanotube Composite
11.4,18.5,1.18,14.1,0.026,Graphene-Coated Carbon Fiber Sheet
10.1,22.2,3.06,1.55,0.189,Nanocrystalline Diamond Thermal Spreader
8.11,18.1,4.29,7.48,0.421,Phenolic Impregnated Carbon Ablator (PICA)
8.45,19.7,4.29,6.3,0.361,Phenolic Impregnated Carbon Ablator (PICA)
18.8,7.61,3.17,15.0,0.196,Graphene-Coated Carbon Fiber Sheet
7.59,17.3,3.56,4.09,0.458,Boron Nitride Nanotube Composite
14.1,21.3,3.06,14.5,0.228,Reinforced Carbon-Carbon (RCC) Shield Tile
12.2,14.2,3.81,14.9,0.408,Boron Nitride Nanotube Composite
8.79,16.0,1.36,11.5,0.0349,Graphene-Coated Carbon Fiber Sheet
9.88,22.6,3.73,4.44,0.263,Aerogel-Infused Carbon Fiber Panel
9.02,20.3,4.71,7.54,0.474,Boron Nitride Nanotube Composite
8.64,19.7,2.34,1.28,0.13,Silicon Oxycarbide Shield Tile
10.9,14.5,2.71,14.1,0.132,Phenolic Impregnated Carbon Ablator (PICA)
16.8,10.6,4.7,16.0,0.477,Boron Nitride Nanotube Composite
9.71,22.8,1.61,6.66,0.0488,Graphene-Coated Carbon Fiber Sheet
10.3,22.8,4.49,4.0,0.426,Boron Nitride Nanotube Composite
8.52,17.9,2.91,0.302,0.159,Phenolic Impregnated Carbon Ablator (PICA)
11.9,19.8,5.29,12.9,0.682,Boron Nitride Nanotube Composite
8.55,20.7,3.35,4.96,0.259,Boron Nitride Nanotube Composite
8.72,21.2,2.09,6.8,0.0863,Diamond-Like Carbon (DLC) Coated Radiator
8.55,21.1,2.07,5.44,0.0761,Graphene-Coated Carbon Fiber Sheet
7.79,17.3,4.29,3.48,0.49,Boron Nitride Nanotube Composite
9.5,21.0,3.67,9.15,0.247,Nanocrystalline Diamond Thermal Spreader
9.36,21.9,2.96,7.39,0.168,Boron Nitride Nanotube Composite
8.97,21.9,1.21,5.94,0.0278,Graphene-Coated Carbon Fiber Sheet
10.2,20.0,4.17,11.3,0.314,Graphene Nanoplatelet Thermal Interface Material
7.99,17.1,3.73,8.72,0.26,Diamond-Like Carbon (DLC) Coated Radiator
7.96,18.1,2.47,1.7,0.111,Boron Nitride Nanotube Composite
9.75,22.1,1.13,8.99,0.0249,Graphene-Coated Carbon Fiber Sheet
9.88,22.5,4.32,4.96,0.422,Reinforced Carbon-Carbon (RCC) Shield Tile
8.3,18.0,3.56,9.29,0.234,Boron Nitride Nanotube Composite
11.8,20.3,4.41,13.0,0.557,Boron Nitride Nanotube Composite
10.4,21.7,3.33,10.4,0.283,Graphene Nanoplatelet Thermal Interface Material
10.3,22.9,2.6,8.54,0.121,Graphene Nanoplatelet Thermal Interface Material
11.5,20.1,3.48,13.2,0.329,Reinforced Carbon-Carbon (RCC) Shield Tile
8.76,21.1,1.55,2.63,0.0452,Graphene-Coated Carbon Fiber Sheet
9.88,20.3,4.97,10.0,0.505,Boron Nitride Nanotube Composite
9.92,22.9,1.81,7.65,0.0655,Graphene Nanoplatelet Thermal Interface Material
9.58,10.4,2.21,11.1,0.088,Boron Nitride Nanotube Composite
9.56,19.8,6.93,4.56,1.39,Graphene-Coated Carbon Fiber Sheet
9.42,21.8,2.45,2.0,0.13,Nanocrystalline Diamond Thermal Spreader
7.92,17.3,2.52,9.23,0.139,Diamond-Like Carbon (DLC) Coated Radiator
16.0,16.5,6.59,15.9,0.94,Graphene Nanoplatelet Thermal Interface Material
17.6,20.5,3.52,16.3,0.239,Reinforced Carbon-Carbon (RCC) Shield Tile
9.92,21.3,1.42,10.6,0.0375,Silicon Oxycarbide Shield Tile
13.5,17.4,3.59,15.8,0.303,Boron Nitride Nanotube Composite
12.7,22.1,1.5,13.3,0.0515,Aerogel-Infused Carbon Fiber Panel
8.75,20.3,2.54,1.47,0.116,Graphene-Coated Carbon Fiber Sheet
13.5,20.6,2.64,14.8,0.184,Reinforced Carbon-Carbon (RCC) Shield Tile
13.2,20.2,3.61,14.6,0.237,Boron Nitride Nanotube Composite
